"DLPFC","DLPFC","Parietal","Parietal"
-1.7779,-2.3772,-2.714,4.1038
-1.0938,-0.62764,-0.49714,3.2982
-1.487,0.25703,-0.38151,3.4599
-2.2754,0.69993,0.21049,2.2711
-2.7832,1.6095,0.63253,-1.0452
-2.5484,1.7692,1.9038,-2.4449
-2.7227,0.85393,1.4277,-3.4691
-2.4783,0.83052,2.0272,-5.086
-1.7366,1.1397,1.4455,-6.6516
-1.4505,0.40949,0.78318,-6.6469
-1.71,0.03569,-0.049669,-6.4468
-1.7528,0.16786,-0.4682,-7.0339
-1.2326,0.3246,-0.60827,-6.4821
-0.84705,0.36827,0.54761,-4.8482
-0.30405,0.61109,1.2011,-2.9811
-0.52031,0.60404,1.0683,-1.934
0.11493,1.2853,-0.30891,-2.6603
-0.29742,0.75688,-0.90335,-2.1888
-0.72672,1.1264,-2.3189,-0.72008
-0.80898,1.1709,-3.808,0.52662
0.39756,1.8717,-3.6175,1.2316
0.64473,1.9168,-2.5075,2.7037
2.0181,1.7513,-2.8041,3.6965
1.6749,0.010837,-3.5141,2.7864
0.14898,-1.6934,-4.2103,-0.77237
-1.8562,-3.0702,-5.5129,-4.2001
-3.2533,-5.176,-5.9717,-6.2691
-4.221,-5.1788,-5.6887,-8.7129
-3.5722,-4.5542,-3.8602,-10.166
-1.6829,-2.8319,-2.5721,-8.1366
0.034502,-1.3822,-0.67329,-5.2084
1.1912,0.056685,0.89002,-2.9277
1.2088,0.67646,1.7432,-1.5931
2.2152,1.002,1.8327,-0.30754
1.7574,0.91645,3.848,1.1653
1.6772,0.72882,4.6498,2.5172
1.4676,0.95441,4.7837,4.4274
0.43094,0.61049,4.0897,4.8705
0.81271,1.0993,4.6267,6.2501
2.2607,1.818,3.8012,5.0593
2.5871,2.0933,2.3298,3.9006
3.0847,2.1928,0.27354,2.2092
4.6117,2.3366,0.027154,1.0463
3.3313,1.6377,-1.4458,-0.39401
1.3205,0.41279,-2.9315,-1.2315
0.57891,-0.57451,-3.08,-1.5841
0.83139,-0.98044,-2.5345,-1.8742
0.49041,-0.62391,-3.1136,-0.098102
0.89408,-0.029723,-2.9672,0.40222
1.2039,-0.14254,-1.4532,0.9989
0.67952,0.3965,-1.108,0.66097
-0.19012,0.73375,0.11999,0.1674
-0.28875,0.72322,1.839,-1.1476
-0.68139,0.20408,1.6614,-2.1344
0.2219,0.34339,1.845,-1.4647
0.98085,0.84502,3.1585,-0.21139
1.1738,1.2645,3.4248,0.71061
1.8797,1.9229,3.3439,0.71634
1.8296,2.1855,4.2163,1.8847
2.1216,2.483,4.1625,2.3244
3.0663,2.4096,3.058,2.6385
3.1093,1.6556,2.2616,3.1856
2.3401,1.0841,1.9758,3.6633
3.0914,1.6047,1.7175,3.1388
2.8011,2.1529,2.3388,2.5554
2.1046,1.4986,3.0525,1.9827
1.9279,1.6656,2.1689,1.1126
1.4111,0.8251,1.4346,0.97865
0.29493,-0.81317,0.26324,0.46575
-0.012607,-1.6834,-2.0637,1.0219
-0.72075,-1.704,-3.368,2.635
-0.14951,-1.6232,-3.0572,4.0212
1.1585,0.33839,-2.5034,5.3863
1.1823,1.7743,-1.2748,7.1539
0.045132,1.8508,0.21004,6.5894
-0.1155,1.9999,1.4574,4.6652
-1.2047,2.2459,2.0183,4.1631
-2.1921,1.1216,1.7604,2.4513
-2.3611,0.57894,0.57098,0.394
-1.8188,0.15589,-0.067265,-0.43663
-1.984,-0.49782,-1.0265,-2.4251
-2.0257,-1.689,-1.6448,-4.2277
-2.4484,-1.9352,-1.4845,-4.2678
-2.3181,-2.1018,-1.0853,-4.1956
-3.0556,-2.0781,-1.1924,-5.5482
-2.1394,-2.2439,-0.60644,-4.1558
-1.3243,-2.3009,-1.0192,-3.8142
-1.6229,-3.4713,-2.5944,-4.2907
-1.3188,-3.1588,-2.6105,-3.5652
-0.51186,-2.7217,-2.4909,-1.6222
